2023-12-01 00:02:16.810 [Thread-10] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2023-12-01 00:02:16.810 [Thread-4] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2023-12-01 00:02:16.812 [Thread-10] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2023-12-01 00:02:16.812 [Thread-4] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2023-12-01 00:02:16.820 [NettyClientSelector_1] INFO  RocketmqRemoting - closeChannel: close the connection to remote address[127.0.0.1:9876] result: true
2023-12-01 00:02:16.821 [NettyClientSelector_1] INFO  RocketmqRemoting - closeChannel: close the connection to remote address[2.0.0.1:10911] result: true
2023-12-01 00:02:16.824 [NettyClientSelector_1] INFO  RocketmqRemoting - closeChannel: close the connection to remote address[127.0.0.1:9876] result: true
2023-12-01 00:02:16.824 [NettyClientSelector_1] INFO  RocketmqRemoting - closeChannel: close the connection to remote address[2.0.0.1:10911] result: true
2023-12-01 00:02:17.433 [SpringApplicationShutdownHook] INFO  org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer - container destroyed, DefaultRocketMQListenerContainer{consumerGroup='note_group', namespace='', nameServer='localhost:9876', topic='note_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING', tlsEnable=false}
2023-12-01 00:02:17.433 [SpringApplicationShutdownHook] INFO  org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer - container destroyed, DefaultRocketMQListenerContainer{consumerGroup='note_task_group', namespace='', nameServer='localhost:9876', topic='note_task_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING', tlsEnable=false}
2023-12-01 00:02:17.437 [SpringApplicationShutdownHook] INFO  com.alibaba.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2023-12-01 00:02:17.442 [SpringApplicationShutdownHook] INFO  com.alibaba.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2023-12-01 00:02:17.780 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Shutdown rpc client, set status to shutdown
2023-12-01 00:02:17.780 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@7191fd36[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2023-12-01 00:02:17.780 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client - Close current connection 1701359552035_127.0.0.1_11103
2023-12-01 00:02:17.781 [nacos-grpc-client-executor-128] INFO  com.alibaba.nacos.common.remote.client.grpc.GrpcClient - [1701359552035_127.0.0.1_11103]Ignore complete event,isRunning:false,isAbandon=false
2023-12-01 00:02:17.782 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client.grpc.GrpcClient - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@4e2d0b0d[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 129]
2023-12-01 00:02:17.808 [NettyClientSelector_1] INFO  RocketmqRemoting - closeChannel: close the connection to remote address[127.0.0.1:9876] result: true
2023-12-01 00:02:17.809 [NettyClientSelector_1] INFO  RocketmqRemoting - closeChannel: close the connection to remote address[2.0.0.1:10911] result: true
2023-12-01 00:02:17.809 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-01 00:02:22.921 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-12-01 00:02:24.117 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 1c396920-a1de-40a2-86ca-b34cf0476cdf_config-0
2023-12-01 00:02:24.159 [main] INFO  org.reflections.Reflections - Reflections took 29 ms to scan 1 urls, producing 3 keys and 6 values 
2023-12-01 00:02:24.189 [main] INFO  org.reflections.Reflections - Reflections took 17 ms to scan 1 urls, producing 4 keys and 9 values 
2023-12-01 00:02:24.201 [main] INFO  org.reflections.Reflections - Reflections took 9 ms to scan 1 urls, producing 3 keys and 10 values 
2023-12-01 00:02:24.365 [main] INFO  org.reflections.Reflections - Reflections took 161 ms to scan 238 urls, producing 0 keys and 0 values 
2023-12-01 00:02:24.374 [main] INFO  org.reflections.Reflections - Reflections took 8 ms to scan 1 urls, producing 1 keys and 5 values 
2023-12-01 00:02:24.384 [main] INFO  org.reflections.Reflections - Reflections took 9 ms to scan 1 urls, producing 1 keys and 7 values 
2023-12-01 00:02:24.395 [main] INFO  org.reflections.Reflections - Reflections took 7 ms to scan 1 urls, producing 2 keys and 8 values 
2023-12-01 00:02:24.544 [main] INFO  org.reflections.Reflections - Reflections took 147 ms to scan 238 urls, producing 0 keys and 0 values 
2023-12-01 00:02:24.544 [main] INFO  com.alibaba.nacos.common.remote.client - [1c396920-a1de-40a2-86ca-b34cf0476cdf_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
